v8-version,6,1,534,50,0
shared-library,"/usr/local/opt/node@8/bin/node",0x100002800,0x100843776,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.60.dylib",0x101a8ff20,0x101bb9d39,4322811904
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.60.dylib",0x101ceeb20,0x101d9f210,4325298176
shared-library,"/usr/local/opt/icu4c/lib/libicudata.60.2.dylib",0x101e649f0,0x101e649f0,4326830080
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4d84a860,0x7fff4da3d9ac,634572800
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff733f394a,0x7fff733f3b2e,634572800
shared-library,"/usr/lib/libc++.1.dylib",0x7fff73627f40,0x7fff7366f2b0,634572800
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7556eb08,0x7fff7557156d,634572800
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff75573c14,0x7fff7557cde1,634572800
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7557eef4,0x7fff75583a8b,634572800
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7558709c,0x7fff7558e2dc,634572800
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff75590e80,0x7fff755f5ab9,634572800
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7569ea08,0x7fff756c99fe,634572800
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff756d8014,0x7fff756f0410,634572800
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff756f5a51,0x7fff756f5e80,634572800
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff75703fc0,0x7fff75703fc0,634572800
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff757046e8,0x7fff757089dc,634572800
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7570a26e,0x7fff7570bb42,634572800
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7570c944,0x7fff7570dc73,634572800
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7570f748,0x7fff75724150,634572800
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7572685d,0x7fff75726d0e,634572800
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff75728100,0x7fff757a918f,634572800
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff757b1e04,0x7fff757b46c0,634572800
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff757b62d0,0x7fff757b83eb,634572800
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff757b9fda,0x7fff757bac44,634572800
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff757bbf3c,0x7fff757c04cd,634572800
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff757c31f0,0x7fff7580841e,634572800
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff75834140,0x7fff75864143,634572800
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff75880250,0x7fff7589931f,634572800
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff758a0b70,0x7fff759a2038,634572800
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff759d0cff,0x7fff759d882e,634572800
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff759dc148,0x7fff759e483e,634572800
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff759fa040,0x7fff759fc52d,634572800
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff759fda1f,0x7fff759fe588,634572800
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7580cf10,0x7fff7582a75d,634572800
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff759e5820,0x7fff759eb38d,634572800
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff759edf78,0x7fff759f610e,634572800
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff759ff938,0x7fff75a0531e,634572800
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff75a08094,0x7fff75a17c8d,634572800
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff75a1c96c,0x7fff75a212a7,634572800
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff75a239c0,0x7fff75a4483e,634572800
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff72eb8e80,0x7fff72ee3689,634572800
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff74aab000,0x7fff74acc65a,634572800
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7367f600,0x7fff7369dd64,634572800
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7307cf08,0x7fff7307d90c,634572800
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff74152fd4,0x7fff7430a2e6,634572800
shared-library,"/usr/lib/libz.1.dylib",0x7fff754c12d0,0x7fff754ccbe5,634572800
profiler,"begin",1000
tick,0x7fff7581f246,680,0,0x0,4
tick,0x7fff759e9f81,1658,0,0x0,4
tick,0x100694cd2,2973,0,0x0,4
code-creation,BytecodeHandler,2,10169,0x5f4d4cfe8a0,351,"JumpIfJSReceiver"
code-creation,BytecodeHandler,2,10175,0x5f4d4cfea00,335,"SwitchOnSmiNoFeedback"
code-creation,BytecodeHandler,2,10181,0x5f4d4cfeb60,787,"ForInPrepare"
code-creation,BytecodeHandler,2,10186,0x5f4d4cfee80,164,"ForInContinue"
code-creation,BytecodeHandler,2,10192,0x5f4d4d04000,315,"ForInNext"
code-creation,BytecodeHandler,2,10198,0x5f4d4d04140,148,"ForInStep"
code-creation,BytecodeHandler,2,10203,0x5f4d4d041e0,267,"StackCheck"
code-creation,BytecodeHandler,2,10209,0x5f4d4d04300,140,"SetPendingMessage"
code-creation,BytecodeHandler,2,10218,0x5f4d4d043a0,227,"Throw"
code-creation,BytecodeHandler,2,10224,0x5f4d4d044a0,227,"ReThrow"
code-creation,BytecodeHandler,2,10230,0x5f4d4d045a0,219,"Return"
code-creation,BytecodeHandler,2,10236,0x5f4d4d04680,267,"ThrowReferenceErrorIfHole"
code-creation,BytecodeHandler,2,10242,0x5f4d4d047a0,247,"ThrowSuperNotCalledIfHole"
code-creation,BytecodeHandler,2,10248,0x5f4d4d048a0,247,"ThrowSuperAlreadyCalledIfNotHole"
code-creation,BytecodeHandler,2,10254,0x5f4d4d049a0,208,"RestoreGeneratorState"
code-creation,BytecodeHandler,2,10260,0x5f4d4d04a80,624,"SuspendGenerator"
code-creation,BytecodeHandler,2,10266,0x5f4d4d04d00,260,"RestoreGeneratorRegisters"
code-creation,BytecodeHandler,2,10272,0x5f4d4d04e20,211,"Debugger"
code-creation,BytecodeHandler,2,10277,0x5f4d4d04f00,364,"DebugBreak0"
code-creation,BytecodeHandler,2,10283,0x5f4d4d05080,364,"DebugBreak1"
code-creation,BytecodeHandler,2,10289,0x5f4d4d05200,364,"DebugBreak2"
code-creation,BytecodeHandler,2,10294,0x5f4d4d05380,364,"DebugBreak3"
code-creation,BytecodeHandler,2,10300,0x5f4d4d05500,364,"DebugBreak4"
code-creation,BytecodeHandler,2,10306,0x5f4d4d05680,364,"DebugBreak5"
code-creation,BytecodeHandler,2,10311,0x5f4d4d05800,364,"DebugBreak6"
code-creation,BytecodeHandler,2,10317,0x5f4d4d05980,364,"DebugBreakWide"
code-creation,BytecodeHandler,2,10323,0x5f4d4d05b00,364,"DebugBreakExtraWide"
code-creation,BytecodeHandler,2,10331,0x5f4d4d05c80,243,"IncBlockCounter"
code-creation,BytecodeHandler,2,10337,0x5f4d4d05d80,171,"Illegal"
code-creation,BytecodeHandler,2,10349,0x5f4d4d05e40,132,"LdaSmi.Wide"
code-creation,BytecodeHandler,2,10355,0x5f4d4d05ee0,136,"LdaConstant.Wide"
code-creation,BytecodeHandler,2,10361,0x5f4d4d05f80,3884,"LdaGlobal.Wide"
code-creation,BytecodeHandler,2,10368,0x5f4d4d06ec0,3820,"LdaGlobalInsideTypeof.Wide"
code-creation,BytecodeHandler,2,10374,0x5f4d4d07dc0,267,"StaGlobalSloppy.Wide"
code-creation,BytecodeHandler,2,10380,0x5f4d4d07ee0,267,"StaGlobalStrict.Wide"
code-creation,BytecodeHandler,2,10386,0x5f4d4d08000,140,"PushContext.Wide"
code-creation,BytecodeHandler,2,10392,0x5f4d4d080a0,136,"PopContext.Wide"
code-creation,BytecodeHandler,2,10397,0x5f4d4d08140,184,"LdaContextSlot.Wide"
code-creation,BytecodeHandler,2,10404,0x5f4d4d08140,184,"LdaImmutableContextSlot.Wide"
code-creation,BytecodeHandler,2,10413,0x5f4d4d08200,140,"LdaCurrentContextSlot.Wide"
code-creation,BytecodeHandler,2,10442,0x5f4d4d08200,140,"LdaImmutableCurrentContextSlot.Wide"
code-creation,BytecodeHandler,2,10454,0x5f4d4d082a0,244,"StaContextSlot.Wide"
tick,0x7fff758292c2,10477,0,0x0,4
code-creation,BytecodeHandler,2,10509,0x5f4d4d083a0,196,"StaCurrentContextSlot.Wide"
code-creation,BytecodeHandler,2,10523,0x5f4d4d08480,231,"LdaLookupSlot.Wide"
code-creation,BytecodeHandler,2,10550,0x5f4d4d08580,339,"LdaLookupContextSlot.Wide"
code-creation,BytecodeHandler,2,10577,0x5f4d4d086e0,4032,"LdaLookupGlobalSlot.Wide"
code-creation,BytecodeHandler,2,10592,0x5f4d4d096a0,231,"LdaLookupSlotInsideTypeof.Wide"
code-creation,BytecodeHandler,2,10616,0x5f4d4d097a0,339,"LdaLookupContextSlotInsideTypeof.Wide"
code-creation,BytecodeHandler,2,10624,0x5f4d4d09900,3968,"LdaLookupGlobalSlotInsideTypeof.Wide"
code-creation,BytecodeHandler,2,10630,0x5f4d4d0a880,347,"StaLookupSlot.Wide"
code-creation,BytecodeHandler,2,10636,0x5f4d4d0a9e0,132,"Ldar.Wide"
code-creation,BytecodeHandler,2,10642,0x5f4d4d0aa80,132,"Star.Wide"
code-creation,BytecodeHandler,2,10648,0x5f4d4d0ab20,144,"Mov.Wide"
code-creation,BytecodeHandler,2,10654,0x5f4d4d0abc0,3199,"LdaNamedProperty.Wide"
code-creation,BytecodeHandler,2,10660,0x5f4d4d0b840,251,"LdaKeyedProperty.Wide"
code-creation,BytecodeHandler,2,10666,0x5f4d4d0b940,224,"LdaModuleVariable.Wide"
code-creation,BytecodeHandler,2,10672,0x5f4d4d0ba20,375,"StaModuleVariable.Wide"
code-creation,BytecodeHandler,2,10679,0x5f4d4d0bba0,267,"StaNamedPropertySloppy.Wide"
code-creation,BytecodeHandler,2,10685,0x5f4d4d0bcc0,267,"StaNamedPropertyStrict.Wide"
code-creation,BytecodeHandler,2,10691,0x5f4d4d0bde0,267,"StaNamedOwnProperty.Wide"
code-creation,BytecodeHandler,2,10698,0x5f4d4d0bf00,263,"StaKeyedPropertySloppy.Wide"
code-creation,BytecodeHandler,2,10704,0x5f4d4d0c020,263,"StaKeyedPropertyStrict.Wide"
code-creation,BytecodeHandler,2,10711,0x5f4d4d0c140,291,"StaDataPropertyInLiteral.Wide"
code-creation,BytecodeHandler,2,10717,0x5f4d4d0c280,255,"CollectTypeProfile.Wide"
code-creation,BytecodeHandler,2,10723,0x5f4d4d0c380,988,"Add.Wide"
code-creation,BytecodeHandler,2,10729,0x5f4d4d0c760,1084,"Sub.Wide"
code-creation,BytecodeHandler,2,10735,0x5f4d4d0cba0,1168,"Mul.Wide"
code-creation,BytecodeHandler,2,10741,0x5f4d4d0d040,1160,"Div.Wide"
code-creation,BytecodeHandler,2,10747,0x5f4d4d0d4e0,1160,"Mod.Wide"
code-creation,BytecodeHandler,2,10752,0x5f4d4d0d980,872,"BitwiseOr.Wide"
code-creation,BytecodeHandler,2,10758,0x5f4d4d0dd00,872,"BitwiseXor.Wide"
code-creation,BytecodeHandler,2,10764,0x5f4d4d0e080,872,"BitwiseAnd.Wide"
code-creation,BytecodeHandler,2,10770,0x5f4d4d0e400,884,"ShiftLeft.Wide"
code-creation,BytecodeHandler,2,10776,0x5f4d4d0e780,884,"ShiftRight.Wide"
code-creation,BytecodeHandler,2,10782,0x5f4d4d0eb00,1112,"ShiftRightLogical.Wide"
code-creation,BytecodeHandler,2,10788,0x5f4d4d0ef60,816,"AddSmi.Wide"
code-creation,BytecodeHandler,2,10794,0x5f4d4d0f2a0,896,"SubSmi.Wide"
code-creation,BytecodeHandler,2,10800,0x5f4d4d0f620,976,"MulSmi.Wide"
code-creation,BytecodeHandler,2,10806,0x5f4d4d0fa00,1016,"DivSmi.Wide"
code-creation,BytecodeHandler,2,10812,0x5f4d4d0fe00,948,"ModSmi.Wide"
code-creation,BytecodeHandler,2,10817,0x5f4d4d101c0,552,"BitwiseOrSmi.Wide"
code-creation,BytecodeHandler,2,10823,0x5f4d4d10400,552,"BitwiseXorSmi.Wide"
code-creation,BytecodeHandler,2,10829,0x5f4d4d10640,552,"BitwiseAndSmi.Wide"
code-creation,BytecodeHandler,2,10835,0x5f4d4d10880,556,"ShiftLeftSmi.Wide"
code-creation,BytecodeHandler,2,10841,0x5f4d4d10ac0,556,"ShiftRightSmi.Wide"
code-creation,BytecodeHandler,2,10847,0x5f4d4d10d00,772,"ShiftRightLogicalSmi.Wide"
code-creation,BytecodeHandler,2,10854,0x5f4d4d11020,672,"Inc.Wide"
code-creation,BytecodeHandler,2,10860,0x5f4d4d112c0,680,"Dec.Wide"
code-creation,BytecodeHandler,2,10866,0x5f4d4d11580,231,"DeletePropertyStrict.Wide"
code-creation,BytecodeHandler,2,10872,0x5f4d4d11680,223,"DeletePropertySloppy.Wide"
code-creation,BytecodeHandler,2,10879,0x5f4d4d11760,223,"GetSuperConstructor.Wide"
code-creation,BytecodeHandler,2,10885,0x5f4d4d11840,1160,"CallAnyReceiver.Wide"
code-creation,BytecodeHandler,2,10891,0x5f4d4d11ce0,1160,"CallProperty.Wide"
code-creation,BytecodeHandler,2,10896,0x5f4d4d12180,235,"CallProperty0.Wide"
code-creation,BytecodeHandler,2,10902,0x5f4d4d12280,255,"CallProperty1.Wide"
code-creation,BytecodeHandler,2,10908,0x5f4d4d12380,267,"CallProperty2.Wide"
code-creation,BytecodeHandler,2,10914,0x5f4d4d124a0,1300,"CallUndefinedReceiver.Wide"
code-creation,BytecodeHandler,2,10921,0x5f4d4d129c0,227,"CallUndefinedReceiver0.Wide"
code-creation,BytecodeHandler,2,10927,0x5f4d4d12ac0,243,"CallUndefinedReceiver1.Wide"
code-creation,BytecodeHandler,2,10933,0x5f4d4d12bc0,259,"CallUndefinedReceiver2.Wide"
code-creation,BytecodeHandler,2,10952,0x5f4d4d12ce0,223,"CallWithSpread.Wide"
code-creation,BytecodeHandler,2,10958,0x5f4d4d12dc0,235,"CallRuntime.Wide"
code-creation,BytecodeHandler,2,10965,0x5f4d4d12ec0,267,"CallRuntimeForPair.Wide"
code-creation,BytecodeHandler,2,10971,0x5f4d4d12fe0,231,"CallJSRuntime.Wide"
code-creation,BytecodeHandler,2,10977,0x5f4d4d130e0,2029,"InvokeIntrinsic.Wide"
code-creation,BytecodeHandler,2,10983,0x5f4d4d138e0,1336,"Construct.Wide"
code-creation,BytecodeHandler,2,10989,0x5f4d4d13e20,231,"ConstructWithSpread.Wide"
code-creation,BytecodeHandler,2,10995,0x5f4d4d13f20,2744,"TestEqual.Wide"
code-creation,BytecodeHandler,2,11001,0x5f4d4d149e0,1115,"TestEqualStrict.Wide"
code-creation,BytecodeHandler,2,11007,0x5f4d4d14e40,1504,"TestLessThan.Wide"
code-creation,BytecodeHandler,2,11013,0x5f4d4d15420,1504,"TestGreaterThan.Wide"
code-creation,BytecodeHandler,2,11019,0x5f4d4d15a00,1504,"TestLessThanOrEqual.Wide"
code-creation,BytecodeHandler,2,11026,0x5f4d4d15fe0,1504,"TestGreaterThanOrEqual.Wide"
code-creation,BytecodeHandler,2,11032,0x5f4d4d165c0,491,"TestEqualStrictNoFeedback.Wide"
code-creation,BytecodeHandler,2,11038,0x5f4d4d167c0,672,"TestInstanceOf.Wide"
code-creation,BytecodeHandler,2,11044,0x5f4d4d16a60,2115,"TestIn.Wide"
code-creation,BytecodeHandler,2,11050,0x5f4d4d172c0,331,"ToName.Wide"
code-creation,BytecodeHandler,2,11056,0x5f4d4d17420,347,"ToNumber.Wide"
code-creation,BytecodeHandler,2,11062,0x5f4d4d17580,223,"ToObject.Wide"
code-creation,BytecodeHandler,2,11068,0x5f4d4d17660,530,"ToPrimitiveToString.Wide"
code-creation,BytecodeHandler,2,11074,0x5f4d4d17880,2004,"StringConcat.Wide"
code-creation,BytecodeHandler,2,11080,0x5f4d4d18060,450,"CreateRegExpLiteral.Wide"
code-creation,BytecodeHandler,2,11087,0x5f4d4d18240,1488,"CreateArrayLiteral.Wide"
code-creation,BytecodeHandler,2,11093,0x5f4d4d18820,1752,"CreateObjectLiteral.Wide"
code-creation,BytecodeHandler,2,11099,0x5f4d4d18f00,816,"CreateClosure.Wide"
code-creation,BytecodeHandler,2,11106,0x5f4d4d19240,227,"CreateBlockContext.Wide"
code-creation,BytecodeHandler,2,11112,0x5f4d4d19340,263,"CreateCatchContext.Wide"
code-creation,BytecodeHandler,2,11118,0x5f4d4d19460,392,"CreateFunctionContext.Wide"
code-creation,BytecodeHandler,2,11124,0x5f4d4d19600,408,"CreateEvalContext.Wide"
code-creation,BytecodeHandler,2,11130,0x5f4d4d197a0,243,"CreateWithContext.Wide"
code-creation,BytecodeHandler,2,11136,0x5f4d4d198a0,480,"JumpLoop.Wide"
code-creation,BytecodeHandler,2,11142,0x5f4d4d19a80,255,"Jump.Wide"
code-creation,BytecodeHandler,2,11148,0x5f4d4d19b80,263,"JumpConstant.Wide"
code-creation,BytecodeHandler,2,11154,0x5f4d4d19ca0,295,"JumpIfNullConstant.Wide"
code-creation,BytecodeHandler,2,11161,0x5f4d4d19de0,295,"JumpIfNotNullConstant.Wide"
code-creation,BytecodeHandler,2,11167,0x5f4d4d19f20,295,"JumpIfUndefinedConstant.Wide"
code-creation,BytecodeHandler,2,11174,0x5f4d4d1a060,295,"JumpIfNotUndefinedConstant.Wide"
code-creation,BytecodeHandler,2,11180,0x5f4d4d1a1a0,295,"JumpIfTrueConstant.Wide"
code-creation,BytecodeHandler,2,11186,0x5f4d4d1a2e0,295,"JumpIfFalseConstant.Wide"
code-creation,BytecodeHandler,2,11192,0x5f4d4d1a420,311,"JumpIfJSReceiverConstant.Wide"
code-creation,BytecodeHandler,2,11199,0x5f4d4d1a560,451,"JumpIfToBooleanTrueConstant.Wide"
code-creation,BytecodeHandler,2,11206,0x5f4d4d1a740,451,"JumpIfToBooleanFalseConstant.Wide"
code-creation,BytecodeHandler,2,11212,0x5f4d4d1a920,443,"JumpIfToBooleanTrue.Wide"
code-creation,BytecodeHandler,2,11218,0x5f4d4d1aae0,439,"JumpIfToBooleanFalse.Wide"
code-creation,BytecodeHandler,2,11224,0x5f4d4d1aca0,287,"JumpIfTrue.Wide"
code-creation,BytecodeHandler,2,11230,0x5f4d4d1adc0,287,"JumpIfFalse.Wide"
code-creation,BytecodeHandler,2,11236,0x5f4d4d1aee0,287,"JumpIfNull.Wide"
code-creation,BytecodeHandler,2,11242,0x5f4d4d1b000,287,"JumpIfNotNull.Wide"
code-creation,BytecodeHandler,2,11248,0x5f4d4d1b120,287,"JumpIfUndefined.Wide"
code-creation,BytecodeHandler,2,11254,0x5f4d4d1b240,287,"JumpIfNotUndefined.Wide"
code-creation,BytecodeHandler,2,11260,0x5f4d4d1b360,351,"JumpIfJSReceiver.Wide"
code-creation,BytecodeHandler,2,11279,0x5f4d4d1b4c0,335,"SwitchOnSmiNoFeedback.Wide"
code-creation,BytecodeHandler,2,11285,0x5f4d4d1b620,787,"ForInPrepare.Wide"
code-creation,BytecodeHandler,2,11291,0x5f4d4d1b940,164,"ForInContinue.Wide"
code-creation,BytecodeHandler,2,11297,0x5f4d4d1ba00,315,"ForInNext.Wide"
code-creation,BytecodeHandler,2,11303,0x5f4d4d1bb40,148,"ForInStep.Wide"
code-creation,BytecodeHandler,2,11310,0x5f4d4d1bbe0,267,"ThrowReferenceErrorIfHole.Wide"
code-creation,BytecodeHandler,2,11316,0x5f4d4d1bd00,208,"RestoreGeneratorState.Wide"
code-creation,BytecodeHandler,2,11322,0x5f4d4d1bde0,624,"SuspendGenerator.Wide"
code-creation,BytecodeHandler,2,11329,0x5f4d4d1c060,260,"RestoreGeneratorRegisters.Wide"
code-creation,BytecodeHandler,2,11335,0x5f4d4d1c180,364,"DebugBreak1.Wide"
code-creation,BytecodeHandler,2,11341,0x5f4d4d1c300,364,"DebugBreak2.Wide"
code-creation,BytecodeHandler,2,11347,0x5f4d4d1c480,364,"DebugBreak3.Wide"
code-creation,BytecodeHandler,2,11353,0x5f4d4d1c600,364,"DebugBreak4.Wide"
code-creation,BytecodeHandler,2,11358,0x5f4d4d1c780,364,"DebugBreak5.Wide"
code-creation,BytecodeHandler,2,11364,0x5f4d4d1c900,364,"DebugBreak6.Wide"
code-creation,BytecodeHandler,2,11370,0x5f4d4d1ca80,243,"IncBlockCounter.Wide"
code-creation,BytecodeHandler,2,11377,0x5f4d4d1cb80,128,"LdaSmi.ExtraWide"
code-creation,BytecodeHandler,2,11383,0x5f4d4d1cc00,136,"LdaConstant.ExtraWide"
code-creation,BytecodeHandler,2,11389,0x5f4d4d1cca0,3884,"LdaGlobal.ExtraWide"
code-creation,BytecodeHandler,2,11395,0x5f4d4d1dbe0,3824,"LdaGlobalInsideTypeof.ExtraWide"
code-creation,BytecodeHandler,2,11401,0x5f4d4d1eae0,267,"StaGlobalSloppy.ExtraWide"
code-creation,BytecodeHandler,2,11408,0x5f4d4d1ec00,267,"StaGlobalStrict.ExtraWide"
code-creation,BytecodeHandler,2,11414,0x5f4d4d1ed20,140,"PushContext.ExtraWide"
code-creation,BytecodeHandler,2,11420,0x5f4d4d1edc0,136,"PopContext.ExtraWide"
code-creation,BytecodeHandler,2,11426,0x5f4d4d1ee60,184,"LdaContextSlot.ExtraWide"
code-creation,BytecodeHandler,2,11433,0x5f4d4d1ee60,184,"LdaImmutableContextSlot.ExtraWide"
code-creation,BytecodeHandler,2,11439,0x5f4d4d1ef20,140,"LdaCurrentContextSlot.ExtraWide"
code-creation,BytecodeHandler,2,11446,0x5f4d4d1ef20,140,"LdaImmutableCurrentContextSlot.ExtraWide"
code-creation,BytecodeHandler,2,11452,0x5f4d4d1efc0,244,"StaContextSlot.ExtraWide"
code-creation,BytecodeHandler,2,11458,0x5f4d4d1f0c0,196,"StaCurrentContextSlot.ExtraWide"
code-creation,BytecodeHandler,2,11465,0x5f4d4d1f1a0,235,"LdaLookupSlot.ExtraWide"
code-creation,BytecodeHandler,2,11471,0x5f4d4d1f2a0,339,"LdaLookupContextSlot.ExtraWide"
code-creation,BytecodeHandler,2,11477,0x5f4d4d1f400,4032,"LdaLookupGlobalSlot.ExtraWide"
code-creation,BytecodeHandler,2,11484,0x5f4d4d203c0,235,"LdaLookupSlotInsideTypeof.ExtraWide"
code-creation,BytecodeHandler,2,11490,0x5f4d4d204c0,339,"LdaLookupContextSlotInsideTypeof.ExtraWide"
code-creation,BytecodeHandler,2,11497,0x5f4d4d20620,3972,"LdaLookupGlobalSlotInsideTypeof.ExtraWide"
code-creation,BytecodeHandler,2,11503,0x5f4d4d215c0,347,"StaLookupSlot.ExtraWide"
code-creation,BytecodeHandler,2,11509,0x5f4d4d21720,132,"Ldar.ExtraWide"
code-creation,BytecodeHandler,2,11515,0x5f4d4d217c0,132,"Star.ExtraWide"
code-creation,BytecodeHandler,2,11521,0x5f4d4d21860,140,"Mov.ExtraWide"
code-creation,BytecodeHandler,2,11527,0x5f4d4d21900,3199,"LdaNamedProperty.ExtraWide"
code-creation,BytecodeHandler,2,11534,0x5f4d4d22580,251,"LdaKeyedProperty.ExtraWide"
code-creation,BytecodeHandler,2,11540,0x5f4d4d22680,224,"LdaModuleVariable.ExtraWide"
code-creation,BytecodeHandler,2,11546,0x5f4d4d22760,375,"StaModuleVariable.ExtraWide"
code-creation,BytecodeHandler,2,11553,0x5f4d4d228e0,267,"StaNamedPropertySloppy.ExtraWide"
code-creation,BytecodeHandler,2,11559,0x5f4d4d22a00,267,"StaNamedPropertyStrict.ExtraWide"
code-creation,BytecodeHandler,2,11566,0x5f4d4d22b20,267,"StaNamedOwnProperty.ExtraWide"
code-creation,BytecodeHandler,2,11572,0x5f4d4d22c40,259,"StaKeyedPropertySloppy.ExtraWide"
code-creation,BytecodeHandler,2,11578,0x5f4d4d22d60,259,"StaKeyedPropertyStrict.ExtraWide"
code-creation,BytecodeHandler,2,11603,0x5f4d4d22e80,287,"StaDataPropertyInLiteral.ExtraWide"
code-creation,BytecodeHandler,2,11613,0x5f4d4d22fa0,251,"CollectTypeProfile.ExtraWide"
code-creation,BytecodeHandler,2,11622,0x5f4d4d230a0,988,"Add.ExtraWide"
code-creation,BytecodeHandler,2,11632,0x5f4d4d23480,1084,"Sub.ExtraWide"
code-creation,BytecodeHandler,2,11663,0x5f4d4d238c0,1168,"Mul.ExtraWide"
tick,0x7fff7576dadc,11688,0,0x0,4
code-creation,BytecodeHandler,2,11710,0x5f4d4d23d60,1160,"Div.ExtraWide"
code-creation,BytecodeHandler,2,11719,0x5f4d4d24200,1160,"Mod.ExtraWide"
code-creation,BytecodeHandler,2,11726,0x5f4d4d246a0,872,"BitwiseOr.ExtraWide"
code-creation,BytecodeHandler,2,11732,0x5f4d4d24a20,872,"BitwiseXor.ExtraWide"
code-creation,BytecodeHandler,2,11738,0x5f4d4d24da0,872,"BitwiseAnd.ExtraWide"
code-creation,BytecodeHandler,2,11744,0x5f4d4d25120,884,"ShiftLeft.ExtraWide"
code-creation,BytecodeHandler,2,11749,0x5f4d4d254a0,884,"ShiftRight.ExtraWide"
code-creation,BytecodeHandler,2,11757,0x5f4d4d25820,1112,"ShiftRightLogical.ExtraWide"
code-creation,BytecodeHandler,2,11763,0x5f4d4d25c80,816,"AddSmi.ExtraWide"
code-creation,BytecodeHandler,2,11769,0x5f4d4d25fc0,896,"SubSmi.ExtraWide"
code-creation,BytecodeHandler,2,11775,0x5f4d4d26340,976,"MulSmi.ExtraWide"
code-creation,BytecodeHandler,2,11781,0x5f4d4d26720,1016,"DivSmi.ExtraWide"
code-creation,BytecodeHandler,2,11787,0x5f4d4d26b20,948,"ModSmi.ExtraWide"
code-creation,BytecodeHandler,2,11792,0x5f4d4d26ee0,552,"BitwiseOrSmi.ExtraWide"
code-creation,BytecodeHandler,2,11799,0x5f4d4d27120,552,"BitwiseXorSmi.ExtraWide"
code-creation,BytecodeHandler,2,11805,0x5f4d4d27360,552,"BitwiseAndSmi.ExtraWide"
code-creation,BytecodeHandler,2,11811,0x5f4d4d275a0,556,"ShiftLeftSmi.ExtraWide"
code-creation,BytecodeHandler,2,11817,0x5f4d4d277e0,556,"ShiftRightSmi.ExtraWide"
code-creation,BytecodeHandler,2,11823,0x5f4d4d27a20,772,"ShiftRightLogicalSmi.ExtraWide"
code-creation,BytecodeHandler,2,11829,0x5f4d4d27d40,672,"Inc.ExtraWide"
code-creation,BytecodeHandler,2,11835,0x5f4d4d27fe0,680,"Dec.ExtraWide"
code-creation,BytecodeHandler,2,11842,0x5f4d4d282a0,231,"DeletePropertyStrict.ExtraWide"
code-creation,BytecodeHandler,2,11848,0x5f4d4d283a0,223,"DeletePropertySloppy.ExtraWide"
code-creation,BytecodeHandler,2,11854,0x5f4d4d28480,223,"GetSuperConstructor.ExtraWide"
code-creation,BytecodeHandler,2,11860,0x5f4d4d28560,1156,"CallAnyReceiver.ExtraWide"
code-creation,BytecodeHandler,2,11866,0x5f4d4d28a00,1156,"CallProperty.ExtraWide"
code-creation,BytecodeHandler,2,11872,0x5f4d4d28ea0,231,"CallProperty0.ExtraWide"
