v8-version,6,1,534,50,0
shared-library,"/usr/local/opt/node@8/bin/node",0x100002800,0x100843776,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.60.dylib",0x101a8ff20,0x101bb9d39,4322811904
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.60.dylib",0x101ceeb20,0x101d9f210,4325298176
shared-library,"/usr/local/opt/icu4c/lib/libicudata.60.2.dylib",0x101e649f0,0x101e649f0,4326830080
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4d84a860,0x7fff4da3d9ac,634572800
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff733f394a,0x7fff733f3b2e,634572800
shared-library,"/usr/lib/libc++.1.dylib",0x7fff73627f40,0x7fff7366f2b0,634572800
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7556eb08,0x7fff7557156d,634572800
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff75573c14,0x7fff7557cde1,634572800
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7557eef4,0x7fff75583a8b,634572800
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7558709c,0x7fff7558e2dc,634572800
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff75590e80,0x7fff755f5ab9,634572800
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7569ea08,0x7fff756c99fe,634572800
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff756d8014,0x7fff756f0410,634572800
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff756f5a51,0x7fff756f5e80,634572800
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff75703fc0,0x7fff75703fc0,634572800
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff757046e8,0x7fff757089dc,634572800
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7570a26e,0x7fff7570bb42,634572800
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7570c944,0x7fff7570dc73,634572800
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7570f748,0x7fff75724150,634572800
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7572685d,0x7fff75726d0e,634572800
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff75728100,0x7fff757a918f,634572800
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff757b1e04,0x7fff757b46c0,634572800
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff757b62d0,0x7fff757b83eb,634572800
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff757b9fda,0x7fff757bac44,634572800
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff757bbf3c,0x7fff757c04cd,634572800
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff757c31f0,0x7fff7580841e,634572800
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff75834140,0x7fff75864143,634572800
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff75880250,0x7fff7589931f,634572800
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff758a0b70,0x7fff759a2038,634572800
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff759d0cff,0x7fff759d882e,634572800
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff759dc148,0x7fff759e483e,634572800
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff759fa040,0x7fff759fc52d,634572800
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff759fda1f,0x7fff759fe588,634572800
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7580cf10,0x7fff7582a75d,634572800
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff759e5820,0x7fff759eb38d,634572800
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff759edf78,0x7fff759f610e,634572800
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff759ff938,0x7fff75a0531e,634572800
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff75a08094,0x7fff75a17c8d,634572800
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff75a1c96c,0x7fff75a212a7,634572800
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff75a239c0,0x7fff75a4483e,634572800
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff72eb8e80,0x7fff72ee3689,634572800
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff74aab000,0x7fff74acc65a,634572800
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7367f600,0x7fff7369dd64,634572800
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7307cf08,0x7fff7307d90c,634572800
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff74152fd4,0x7fff7430a2e6,634572800
shared-library,"/usr/lib/libz.1.dylib",0x7fff754c12d0,0x7fff754ccbe5,634572800
tick,0x7fff7581f246,692,0,0x0,4
profiler,"begin",1000
tick,0x7fff759ea053,1999,0,0x0,4
tick,0x7fff759ea04f,3257,0,0x0,4
code-creation,Stub,3,4478,0x76fe1195f00,2292,"RecordWriteStub"
code-creation,Handler,4,4484,0x76fe1196800,256,"An IC handler from the snapshot"
code-creation,Stub,3,4491,0x76fe1196900,2291,"RecordWriteStub"
code-creation,Stub,3,4497,0x76fe1197200,980,"RecordWriteStub"
code-creation,Stub,3,4504,0x76fe11975e0,2238,"RecordWriteStub"
code-creation,Stub,3,4511,0x76fe1197ea0,2266,"RecordWriteStub"
code-creation,Stub,3,4517,0x76fe1198780,189,"DoubleToIStub"
code-creation,Stub,3,4524,0x76fe1198840,2270,"RecordWriteStub"
code-creation,Handler,4,4540,0x76fe1199120,308,"An IC handler from the snapshot"
code-creation,Stub,3,4547,0x76fe1199260,2280,"RecordWriteStub"
code-creation,Stub,3,4554,0x76fe1199b60,2265,"RecordWriteStub"
code-creation,Stub,3,4560,0x76fe119a440,2229,"RecordWriteStub"
code-creation,Stub,3,4567,0x76fe119ad00,1412,"RecordWriteStub"
code-creation,Stub,3,4574,0x76fe119b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,4580,0x76fe119bbc0,978,"RecordWriteStub"
tick,0x7fff758292c2,4596,0,0x0,4
code-creation,Stub,3,4621,0x76fe119bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,4631,0x76fe119c880,2266,"RecordWriteStub"
code-creation,Stub,3,4638,0x76fe119d160,2296,"RecordWriteStub"
code-creation,Stub,3,4645,0x76fe119da60,978,"RecordWriteStub"
code-creation,Stub,3,4652,0x76fe119de40,2250,"RecordWriteStub"
code-creation,Stub,3,4659,0x76fe119e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,4666,0x76fe119e900,183,"DoubleToIStub"
code-creation,Stub,3,4673,0x76fe119e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,4680,0x76fe119f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,4687,0x76fe119fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,4693,0x76fe11a04a0,2242,"RecordWriteStub"
code-creation,Stub,3,4700,0x76fe11a0d80,980,"RecordWriteStub"
code-creation,Handler,4,4707,0x76fe11a1160,780,"An IC handler from the snapshot"
code-creation,Stub,3,4714,0x76fe11a1480,2265,"RecordWriteStub"
code-creation,Stub,3,4721,0x76fe11a1d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,4728,0x76fe11a1f60,2292,"RecordWriteStub"
code-creation,Stub,3,4735,0x76fe11a2860,2269,"RecordWriteStub"
code-creation,Stub,3,4742,0x76fe11a3140,974,"RecordWriteStub"
code-creation,Stub,3,4749,0x76fe11a3520,2280,"RecordWriteStub"
code-creation,Stub,3,4755,0x76fe11a3e20,2275,"RecordWriteStub"
code-creation,Stub,3,4762,0x76fe11a4720,2296,"RecordWriteStub"
code-creation,Stub,3,4769,0x76fe11a5020,2254,"RecordWriteStub"
code-creation,Stub,3,4776,0x76fe11a5900,2254,"RecordWriteStub"
code-creation,Stub,3,4783,0x76fe11a61e0,591,"StringAddStub"
code-creation,Stub,3,4790,0x76fe11a6440,1872,"StringAddStub"
code-creation,Builtin,5,4797,0x76fe11a6ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,4804,0x76fe11a6ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,4811,0x76fe11a7440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,4818,0x76fe11a7540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,4825,0x76fe11a76c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,4832,0x76fe11a7800,2238,"RecordWriteStub"
code-creation,Stub,3,4838,0x76fe11a80c0,2300,"RecordWriteStub"
code-creation,Stub,3,4845,0x76fe11a89c0,2245,"RecordWriteStub"
code-creation,Stub,3,4852,0x76fe11a92a0,2291,"RecordWriteStub"
code-creation,Stub,3,4859,0x76fe11a9ba0,2270,"RecordWriteStub"
code-creation,Stub,3,4884,0x76fe11aa480,2254,"RecordWriteStub"
code-creation,Stub,3,4892,0x76fe11aad60,2285,"RecordWriteStub"
code-creation,Handler,4,4899,0x76fe11ab660,308,"An IC handler from the snapshot"
code-creation,Handler,4,4905,0x76fe11ab7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,4912,0x76fe11abaa0,2296,"RecordWriteStub"
code-creation,Stub,3,4919,0x76fe11ac3a0,2238,"RecordWriteStub"
code-creation,Stub,3,4926,0x76fe11acc60,2254,"RecordWriteStub"
code-creation,Stub,3,4932,0x76fe11ad540,1391,"RecordWriteStub"
code-creation,Stub,3,4939,0x76fe11adac0,2242,"RecordWriteStub"
code-creation,Stub,3,4946,0x76fe11ae3a0,2291,"RecordWriteStub"
code-creation,Stub,3,4952,0x76fe11aeca0,183,"DoubleToIStub"
code-creation,Stub,3,4959,0x76fe11aed60,2266,"RecordWriteStub"
code-creation,Stub,3,4966,0x76fe11af640,2308,"RecordWriteStub"
code-creation,Handler,4,4973,0x76fe11aff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,4979,0x76fe11b0280,256,"An IC handler from the snapshot"
code-creation,Stub,3,4986,0x76fe11b0380,2238,"RecordWriteStub"
code-creation,Stub,3,4993,0x76fe11b0c40,2266,"RecordWriteStub"
code-creation,Handler,4,5000,0x76fe11b1520,296,"An IC handler from the snapshot"
code-creation,Stub,3,5006,0x76fe11b1660,1412,"RecordWriteStub"
code-creation,Stub,3,5013,0x76fe11b1c00,2269,"RecordWriteStub"
code-creation,Stub,3,5020,0x76fe11b24e0,2250,"RecordWriteStub"
code-creation,Stub,3,5027,0x76fe11b2dc0,3405,"SubStringStub"
code-creation,Stub,3,5033,0x76fe11b3b20,183,"DoubleToIStub"
code-creation,Stub,3,5040,0x76fe11b3be0,387,"CreateWeakCellStub"
code-creation,Handler,4,5047,0x76fe11b3d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,5054,0x76fe11b4040,1416,"RecordWriteStub"
code-creation,Stub,3,5061,0x76fe11b45e0,2257,"RecordWriteStub"
code-creation,Stub,3,5067,0x76fe11b4ec0,365,"CEntryStub"
code-creation,Stub,3,5074,0x76fe11b5040,2238,"RecordWriteStub"
code-creation,Stub,3,5081,0x76fe11b5900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,5088,0x76fe11b5ae0,2272,"RecordWriteStub"
code-creation,Stub,3,5094,0x76fe11b63c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,5101,0x76fe11b6500,357,"MathPowStub"
code-creation,Handler,4,5108,0x76fe11b6680,744,"An IC handler from the snapshot"
code-creation,Stub,3,5115,0x76fe11b6980,427,"CallApiGetterStub"
code-creation,Stub,3,5122,0x76fe11b6b40,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,5129,0x76fe11b6c80,2276,"RecordWriteStub"
code-creation,Stub,3,5135,0x76fe11b7580,2284,"RecordWriteStub"
code-creation,Stub,3,5142,0x76fe11b7e80,2254,"RecordWriteStub"
code-creation,Stub,3,5149,0x76fe11b8760,615,"StringAddStub"
code-creation,Stub,3,5156,0x76fe11b89e0,375,"NumberToStringStub"
code-creation,Stub,3,5162,0x76fe11b8b60,980,"RecordWriteStub"
code-creation,Stub,3,5169,0x76fe11b8f40,2263,"RecordWriteStub"
code-creation,Handler,4,5176,0x76fe11b9820,296,"An IC handler from the snapshot"
code-creation,Stub,3,5183,0x76fe11b9960,2307,"RecordWriteStub"
code-creation,Stub,3,5189,0x76fe11ba280,2254,"RecordWriteStub"
code-creation,Stub,3,5196,0x76fe11bab60,185,"DoubleToIStub"
code-creation,Stub,3,5203,0x76fe11bac20,2283,"RecordWriteStub"
code-creation,Stub,3,5209,0x76fe11bb520,978,"RecordWriteStub"
code-creation,Stub,3,5219,0x76fe11bb900,2257,"RecordWriteStub"
code-creation,Stub,3,5226,0x76fe11bc1e0,2292,"RecordWriteStub"
code-creation,Stub,3,5233,0x76fe11bcae0,2241,"RecordWriteStub"
code-creation,Stub,3,5240,0x76fe11bd3c0,2279,"RecordWriteStub"
code-creation,Stub,3,5247,0x76fe11bdcc0,972,"RecordWriteStub"
code-creation,Stub,3,5253,0x76fe11be0a0,2254,"RecordWriteStub"
code-creation,Stub,3,5260,0x76fe11be980,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,5267,0x76fe11beb40,688,"An IC handler from the snapshot"
code-creation,Stub,3,5274,0x76fe11bee00,974,"RecordWriteStub"
code-creation,Stub,3,5280,0x76fe11bf1e0,2254,"RecordWriteStub"
code-creation,Stub,3,5287,0x76fe11bfac0,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,5294,0x76fe11bfc00,2242,"RecordWriteStub"
code-creation,Stub,3,5315,0x76fe11c04e0,2241,"RecordWriteStub"
code-creation,Stub,3,5322,0x76fe11c0dc0,980,"RecordWriteStub"
code-creation,Stub,3,5329,0x76fe11c11a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,5336,0x76fe11c1280,2266,"RecordWriteStub"
code-creation,Stub,3,5342,0x76fe11c1b60,183,"DoubleToIStub"
code-creation,Stub,3,5349,0x76fe11c1c20,2241,"RecordWriteStub"
code-creation,Stub,3,5356,0x76fe11c2500,986,"RecordWriteStub"
code-creation,Stub,3,5362,0x76fe11c28e0,2242,"RecordWriteStub"
code-creation,Stub,3,5369,0x76fe11c31c0,2269,"RecordWriteStub"
code-creation,Stub,3,5376,0x76fe11c3aa0,2270,"RecordWriteStub"
code-creation,Stub,3,5382,0x76fe11c4380,2270,"RecordWriteStub"
code-creation,Stub,3,5389,0x76fe11c4c60,2253,"RecordWriteStub"
code-creation,Stub,3,5396,0x76fe11c5540,2311,"RecordWriteStub"
code-creation,Stub,3,5402,0x76fe11c5e60,2326,"RecordWriteStub"
code-creation,Stub,3,5409,0x76fe11c6780,365,"CEntryStub"
code-creation,Stub,3,5416,0x76fe11c6900,2254,"RecordWriteStub"
code-creation,Stub,3,5422,0x76fe11c71e0,2275,"RecordWriteStub"
code-creation,Stub,3,5429,0x76fe11c7ae0,2238,"RecordWriteStub"
code-creation,Stub,3,5436,0x76fe11c83a0,2308,"RecordWriteStub"
code-creation,Stub,3,5443,0x76fe11c8cc0,2284,"RecordWriteStub"
code-creation,Stub,3,5449,0x76fe11c95c0,565,"CEntryStub"
code-creation,Stub,3,5456,0x76fe11c9800,2300,"RecordWriteStub"
code-creation,Stub,3,5463,0x76fe11ca100,2253,"RecordWriteStub"
code-creation,Stub,3,5469,0x76fe11ca9e0,2266,"RecordWriteStub"
code-creation,Builtin,5,5476,0x76fe11cb2c0,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,5483,0x76fe11cb360,124,"ReturnReceiver"
code-creation,Builtin,5,5490,0x76fe11cb3e0,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,5501,0x76fe11cb600,338,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,5508,0x76fe11cb760,335,"CreateIterResultObject"
code-creation,Builtin,5,5515,0x76fe11cb8c0,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,5521,0x76fe11cbae0,546,"GeneratorPrototypeThrow"
code-creation,Builtin,5,5528,0x76fe11cbd20,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,5537,0x76fe11cc3a0,200,"ToBoolean"
code-creation,Builtin,5,5544,0x76fe11cc480,4284,"ResolveNativePromise"
code-creation,Builtin,5,5551,0x76fe11cd540,448,"StringEqual"
code-creation,Builtin,5,5558,0x76fe11cd700,5296,"PerformNativePromiseThen"
code-creation,Builtin,5,5565,0x76fe11cebc0,828,"RejectNativePromise"
code-creation,Builtin,5,5571,0x76fe11cef00,2192,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,5578,0x76fe11cf7a0,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,5585,0x76fe11cfe40,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,5592,0x76fe11d0240,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,5599,0x76fe11d0440,980,"AsyncGeneratorResolve"
code-creation,Builtin,5,5606,0x76fe11d0820,207,"AsyncGeneratorReject"
code-creation,Builtin,5,5612,0x76fe11d0900,1024,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,5619,0x76fe11d0d00,1024,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,5626,0x76fe11d1100,134,"Illegal"
code-creation,Builtin,5,5633,0x76fe11d11a0,134,"ObjectAssign"
