v8-version,6,1,534,50,0
shared-library,"/usr/local/opt/node@8/bin/node",0x100002800,0x100843776,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.60.dylib",0x101a8ff20,0x101bb9d39,4322811904
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.60.dylib",0x101ceeb20,0x101d9f210,4325298176
shared-library,"/usr/local/opt/icu4c/lib/libicudata.60.2.dylib",0x101e649f0,0x101e649f0,4326830080
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4d84a860,0x7fff4da3d9ac,634572800
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff733f394a,0x7fff733f3b2e,634572800
shared-library,"/usr/lib/libc++.1.dylib",0x7fff73627f40,0x7fff7366f2b0,634572800
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7556eb08,0x7fff7557156d,634572800
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff75573c14,0x7fff7557cde1,634572800
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7557eef4,0x7fff75583a8b,634572800
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7558709c,0x7fff7558e2dc,634572800
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff75590e80,0x7fff755f5ab9,634572800
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7569ea08,0x7fff756c99fe,634572800
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff756d8014,0x7fff756f0410,634572800
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff756f5a51,0x7fff756f5e80,634572800
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff75703fc0,0x7fff75703fc0,634572800
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff757046e8,0x7fff757089dc,634572800
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7570a26e,0x7fff7570bb42,634572800
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7570c944,0x7fff7570dc73,634572800
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7570f748,0x7fff75724150,634572800
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7572685d,0x7fff75726d0e,634572800
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff75728100,0x7fff757a918f,634572800
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff757b1e04,0x7fff757b46c0,634572800
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff757b62d0,0x7fff757b83eb,634572800
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff757b9fda,0x7fff757bac44,634572800
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff757bbf3c,0x7fff757c04cd,634572800
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff757c31f0,0x7fff7580841e,634572800
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff75834140,0x7fff75864143,634572800
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff75880250,0x7fff7589931f,634572800
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff758a0b70,0x7fff759a2038,634572800
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff759d0cff,0x7fff759d882e,634572800
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff759dc148,0x7fff759e483e,634572800
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff759fa040,0x7fff759fc52d,634572800
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff759fda1f,0x7fff759fe588,634572800
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7580cf10,0x7fff7582a75d,634572800
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff759e5820,0x7fff759eb38d,634572800
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff759edf78,0x7fff759f610e,634572800
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff759ff938,0x7fff75a0531e,634572800
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff75a08094,0x7fff75a17c8d,634572800
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff75a1c96c,0x7fff75a212a7,634572800
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff75a239c0,0x7fff75a4483e,634572800
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff72eb8e80,0x7fff72ee3689,634572800
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff74aab000,0x7fff74acc65a,634572800
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7367f600,0x7fff7369dd64,634572800
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7307cf08,0x7fff7307d90c,634572800
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff74152fd4,0x7fff7430a2e6,634572800
shared-library,"/usr/lib/libz.1.dylib",0x7fff754c12d0,0x7fff754ccbe5,634572800
tick,0x10c0baabf,646,0,0x0,4
profiler,"begin",1000
tick,0x7fff759ea060,1930,0,0x0,4
tick,0x7fff759e9f49,2969,0,0x0,4
timer-event-end,"V8.External",213143
timer-event-start,"V8.External",213153
timer-event-end,"V8.External",213163
timer-event-start,"V8.External",213170
timer-event-end,"V8.External",213178
timer-event-start,"V8.External",213185
timer-event-end,"V8.External",213192
timer-event-start,"V8.External",213200
timer-event-start,"V8.CompileScriptMicroSeconds",213212
timer-event-start,"V8.CompileCode",213224
timer-event-start,"V8.CompileMicroSeconds",213260
code-creation,Script,18,213308,0x2b5e808c1f90,64," /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/filter.js:1:1",0x2b5e808c1de8,~
code-creation,Function,18,213325,0x2b5e808c20f0,72," /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/filter.js:1:11",0x2b5e808c1eb0,~
timer-event-end,"V8.CompileMicroSeconds",213335
timer-event-end,"V8.CompileCode",213341
timer-event-end,"V8.CompileScriptMicroSeconds",213348
timer-event-end,"V8.External",213354
timer-event-start,"V8.External",213361
timer-event-start,"V8.Execute",213370
timer-event-start,"V8.Execute",213375
timer-event-end,"V8.Execute",213382
timer-event-end,"V8.Execute",213387
timer-event-end,"V8.External",213392
timer-event-start,"V8.CompileCode",213403
code-creation,Function,18,213441,0x2b5e808c2578,96,"module.exports /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/filter.js:2:26",0x2b5e808c2008,~
code-creation,LazyCompile,18,213453,0x2b5e808c2578,96,"module.exports /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/filter.js:2:26",0x2b5e808c2008,~
timer-event-end,"V8.CompileCode",213462
timer-event-start,"V8.External",213493
timer-event-end,"V8.External",213510
timer-event-start,"V8.External",213547
timer-event-end,"V8.External",213561
timer-event-start,"V8.External",213590
timer-event-end,"V8.External",213606
timer-event-start,"V8.External",213613
timer-event-end,"V8.External",213620
timer-event-start,"V8.External",213630
timer-event-end,"V8.External",213640
timer-event-start,"V8.External",213646
timer-event-end,"V8.External",213654
timer-event-start,"V8.External",213661
timer-event-end,"V8.External",213667
timer-event-start,"V8.External",213675
timer-event-start,"V8.CompileScriptMicroSeconds",213685
timer-event-start,"V8.CompileCode",213698
timer-event-start,"V8.CompileMicroSeconds",213751
code-creation,Script,18,213772,0x2b5e808c2c38,64," /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/each.js:1:1",0x2b5e808c2a90,~
code-creation,Function,18,213788,0x2b5e808c2d98,72," /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/each.js:1:11",0x2b5e808c2b58,~
timer-event-end,"V8.CompileMicroSeconds",213797
timer-event-end,"V8.CompileCode",213819
timer-event-end,"V8.CompileScriptMicroSeconds",213828
tick,0x7fff758292c2,213843,1,0x1007837ce,2,0x100219d2e,0x2b5e796068f5,0x2b5e79606783,0x2b5e79605e02,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e609f34d1,0x2b5e609ebfaf,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e609ea2ff,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e609c3f14,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e7960d48b,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e7960aae8,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e79607506,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e47ef8739,0x2b5e883b7775,0x2b5e883b2476
timer-event-end,"V8.External",213863
timer-event-start,"V8.External",213872
timer-event-start,"V8.Execute",213881
timer-event-start,"V8.Execute",213887
timer-event-end,"V8.Execute",213893
timer-event-end,"V8.Execute",213899
timer-event-end,"V8.External",213904
timer-event-start,"V8.CompileCode",213915
code-creation,Function,18,213980,0x2b5e808c34c8,136,"module.exports /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/each.js:2:26",0x2b5e808c2cb0,~
code-creation,LazyCompile,18,213994,0x2b5e808c34c8,136,"module.exports /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/each.js:2:26",0x2b5e808c2cb0,~
timer-event-end,"V8.CompileCode",214004
timer-event-start,"V8.External",214038
timer-event-end,"V8.External",214055
timer-event-start,"V8.External",214093
timer-event-end,"V8.External",214107
timer-event-start,"V8.External",214137
timer-event-end,"V8.External",214158
timer-event-start,"V8.External",214167
timer-event-end,"V8.External",214178
timer-event-start,"V8.External",214191
timer-event-end,"V8.External",214202
timer-event-start,"V8.External",214208
timer-event-end,"V8.External",214217
timer-event-start,"V8.External",214226
timer-event-end,"V8.External",214233
timer-event-start,"V8.External",214242
timer-event-start,"V8.CompileScriptMicroSeconds",214253
timer-event-start,"V8.CompileCode",214264
timer-event-start,"V8.CompileMicroSeconds",214306
code-creation,Script,18,214325,0x2b5e808c3c18,64," /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/any.js:1:1",0x2b5e808c3a70,~
code-creation,Function,18,214342,0x2b5e808c3d78,72," /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/any.js:1:11",0x2b5e808c3b38,~
timer-event-end,"V8.CompileMicroSeconds",214352
timer-event-end,"V8.CompileCode",214358
timer-event-end,"V8.CompileScriptMicroSeconds",214366
timer-event-end,"V8.External",214372
timer-event-start,"V8.External",214378
timer-event-start,"V8.Execute",214387
timer-event-start,"V8.Execute",214393
timer-event-end,"V8.Execute",214399
timer-event-end,"V8.Execute",214404
timer-event-end,"V8.External",214410
timer-event-start,"V8.CompileCode",214420
code-creation,Function,18,214468,0x2b5e808c42c8,96,"module.exports /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/any.js:2:26",0x2b5e808c3c90,~
code-creation,LazyCompile,18,214480,0x2b5e808c42c8,96,"module.exports /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/any.js:2:26",0x2b5e808c3c90,~
timer-event-end,"V8.CompileCode",214489
timer-event-start,"V8.External",214504
timer-event-end,"V8.External",214516
timer-event-start,"V8.External",214525
timer-event-end,"V8.External",214531
timer-event-start,"V8.CompileCode",214541
code-creation,Function,18,214574,0x2b5e808c4598,104,"fillTypes /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/promise.js:755:23",0x2b5e609eeff8,~
code-creation,LazyCompile,18,214585,0x2b5e808c4598,104,"fillTypes /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/promise.js:755:23",0x2b5e609eeff8,~
timer-event-end,"V8.CompileCode",214594
timer-event-start,"V8.CompileCode",214601
code-creation,Function,18,214641,0x2b5e808c4790,136,"Promise /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/promise.js:70:17",0x2b5e609eeda0,~
code-creation,LazyCompile,18,214652,0x2b5e808c4790,136,"Promise /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/promise.js:70:17",0x2b5e609eeda0,~
timer-event-end,"V8.CompileCode",214661
timer-event-start,"V8.CompileCode",214675
code-creation,Function,18,214725,0x2b5e808c4c78,168,"Promise._resolveFromExecutor /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/promise.js:477:51",0x2b5e609f14b0,~
code-creation,LazyCompile,18,214738,0x2b5e808c4c78,168,"Promise._resolveFromExecutor /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/promise.js:477:51",0x2b5e609f14b0,~
timer-event-end,"V8.CompileCode",214749
timer-event-start,"V8.CompileCode",214757
code-creation,Function,18,214771,0x2b5e808c4f18,64,"Promise._promiseCreated /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/context.js:6:45",0x2b5e7a47eec0,~
code-creation,LazyCompile,18,214781,0x2b5e808c4f18,64,"Promise._promiseCreated /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/context.js:6:45",0x2b5e7a47eec0,~
timer-event-end,"V8.CompileCode",214789
timer-event-start,"V8.CompileCode",214796
code-creation,Function,18,214815,0x2b5e808c4ff0,64,"defaultFireEvent /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/debuggability.js:298:26",0x2b5e808845a8,~
code-creation,LazyCompile,18,214825,0x2b5e808c4ff0,64,"defaultFireEvent /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/debuggability.js:298:26",0x2b5e808845a8,~
timer-event-end,"V8.CompileCode",214833
timer-event-start,"V8.CompileCode",214917
code-creation,Function,18,215011,0x2b5e808c63a0,304,"setBounds /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/debuggability.js:675:19",0x2b5e808859f8,~
code-creation,LazyCompile,18,215024,0x2b5e808c63a0,304,"setBounds /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/debuggability.js:675:19",0x2b5e808859f8,~
timer-event-end,"V8.CompileCode",215033
timer-event-start,"V8.CompileCode",215040
code-creation,Function,18,215059,0x2b5e808c6798,64,"longStackTracesIsSupported /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/debuggability.js:659:36",0x2b5e80885868,~
code-creation,LazyCompile,18,215070,0x2b5e808c6798,64,"longStackTracesIsSupported /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/debuggability.js:659:36",0x2b5e80885868,~
timer-event-end,"V8.CompileCode",215078
timer-event-start,"V8.External",215088
tick,0x7fff758292c2,215120,0,0x7fff7576a796,0,0x1004c17ee,0x2b5e808c63e8,0x2b5e609f35f9,0x2b5e609ebfaf,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e609ea2ff,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e609c3f14,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e7960d48b,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e7960aae8,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e79607506,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e47ef8739,0x2b5e883b7775,0x2b5e883b2476
timer-event-end,"V8.External",215319
timer-event-start,"V8.External",215339
timer-event-end,"V8.External",215376
timer-event-start,"V8.CompileCode",215390
code-creation,Function,18,215434,0x2b5e6cbd0150,120,"parseLineInfo /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/debuggability.js:665:23",0x2b5e80885930,~
code-creation,LazyCompile,18,215446,0x2b5e6cbd0150,120,"parseLineInfo /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/debuggability.js:665:23",0x2b5e80885930,~
timer-event-end,"V8.CompileCode",215456
timer-event-start,"V8.CompileCode",215464
code-creation,Function,18,215525,0x2b5e6cbd03e0,136,"match native string.js:12:6",0x2b5e2920e5b0,~
code-creation,LazyCompile,18,215537,0x2b5e6cbd03e0,136,"match native string.js:12:6",0x2b5e2920e5b0,~
timer-event-end,"V8.CompileCode",215545
code-creation,RegExp,6,215603,0x1c8e37787260,1715,"[\\/<\\(]([^:\\/]+):(\\d+):(?:\\d+)\\)?\\s*$"
timer-event-start,"V8.External",215620
timer-event-end,"V8.External",215627
timer-event-start,"V8.External",215657
timer-event-end,"V8.External",215665
timer-event-start,"V8.External",215717
timer-event-end,"V8.External",215740
timer-event-start,"V8.External",215759
timer-event-end,"V8.External",215797
timer-event-start,"V8.External",215899
timer-event-end,"V8.External",215916
timer-event-start,"V8.External",215952
timer-event-end,"V8.External",215965
timer-event-start,"V8.External",215979
timer-event-end,"V8.External",215991
timer-event-start,"V8.External",216003
timer-event-end,"V8.External",216015
timer-event-start,"V8.External",216048
timer-event-end,"V8.External",216064
timer-event-start,"V8.External",216070
timer-event-end,"V8.External",216078
timer-event-start,"V8.External",216095
timer-event-end,"V8.External",216133
timer-event-start,"V8.External",216141
timer-event-end,"V8.External",216149
timer-event-start,"V8.External",216157
timer-event-end,"V8.External",216188
timer-event-start,"V8.External",216199
timer-event-start,"V8.CompileScriptMicroSeconds",216213
tick,0x1005467f7,216303,1,0x1007837ce,3,0x100219d2e,0x2b5e796068f5,0x2b5e79606783,0x2b5e79605e02,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e609ea313,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e609c3f14,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e7960d48b,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e7960aae8,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e79607506,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e47ef8739,0x2b5e883b7775,0x2b5e883b2476
timer-event-start,"V8.CompileCode",216683
tick,0x10059cb13,217437,1,0x1007837ce,2,0x100219d2e,0x2b5e796068f5,0x2b5e79606783,0x2b5e79605e02,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e609ea313,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e609c3f14,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e7960d48b,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e7960aae8,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e79607506,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e47ef8739,0x2b5e883b7775,0x2b5e883b2476
tick,0x1001fbc9e,218615,1,0x1007837ce,2,0x100219d2e,0x2b5e796068f5,0x2b5e79606783,0x2b5e79605e02,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e609ea313,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e609c3f14,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e7960d48b,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e7960aae8,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e79607506,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e47ef8739,0x2b5e883b7775,0x2b5e883b2476
timer-event-start,"V8.CompileMicroSeconds",219633
code-creation,Script,18,219788,0x2b5e6cbd6110,64," /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/async/dist/async.js:1:1",0x2b5e6cbd5f68,~
code-creation,Function,18,219811,0x2b5e6cbd6338,88," /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/async/dist/async.js:1:11",0x2b5e6cbd6030,~
code-creation,Function,18,219836,0x2b5e6cbd6420,144," /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/async/dist/async.js:1:73",0x2b5e6cbd6188,~
tick,0x1004db766,219925,1,0x1007837ce,2,0x100219d2e,0x2b5e796068f5,0x2b5e79606783,0x2b5e79605e02,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e609ea313,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e609c3f14,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e7960d48b,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e7960aae8,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e7960800e,0x2b5e79607dd5,0x2b5e79607506,0x2b5e79605f58,0x2b5e47eff520,0x2b5e47efe551,0x2b5e47efe113,0x2b5e47ef8d13,0x2b5e47ef8739,0x2b5e883b7775,0x2b5e883b2476
code-creation,Function,18,220127,0x2b5e6cbde168,6432," /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/async/dist/async.js:5:19",0x2b5e6cbd6250,~
code-creation,Function,18,220146,0x2b5e6cbe05d0,64," /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/async/dist/async.js:571:43",0x2b5e6cbdbe20,~
code-creation,Function,18,220164,0x2b5e6cbe0688,120," /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/async/dist/async.js:754:25",0x2b5e6cbdbfb0,~
timer-event-end,"V8.CompileMicroSeconds",220174
timer-event-end,"V8.CompileCode",220180
timer-event-end,"V8.CompileScriptMicroSeconds",220194
timer-event-end,"V8.External",220201
timer-event-start,"V8.External",220210
timer-event-start,"V8.Execute",220222
timer-event-start,"V8.Execute",220228
timer-event-end,"V8.Execute",220236
timer-event-end,"V8.Execute",220241
timer-event-end,"V8.External",220247
timer-event-start,"V8.CompileCode",220260
timer-event-end,"V8.CompileCode",220267
timer-event-start,"V8.CompileCode",220273
timer-event-end,"V8.CompileCode",220279
timer-event-start,"V8.CompileCode",220302
code-creation,Function,18,220342,0x2b5e6cbe3110,72,"wrap /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/async/dist/async.js:115:14",0x2b5e6cbd6768,~
code-creation,LazyCompile,18,220354,0x2b5e6cbe3110,72,"wrap /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/async/dist/async.js:115:14",0x2b5e6cbd6768,~
timer-event-end,"V8.CompileCode",220363
timer-event-start,"V8.CompileCode",220381
timer-event-end,"V8.CompileCode",220388
timer-event-start,"V8.CompileCode",220394
code-creation,Function,18,220418,0x2b5e6cbe3358,88,"baseIsArguments /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/async/dist/async.js:540:25",0x2b5e6cbd74b0,~
code-creation,LazyCompile,18,220430,0x2b5e6cbe3358,88,"baseIsArguments /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/async/dist/async.js:540:25",0x2b5e6cbd74b0,~
timer-event-end,"V8.CompileCode",220438
timer-event-start,"V8.CompileCode",220444
code-creation,Function,18,220464,0x2b5e6cbe34a0,72,"isObjectLike /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/async/dist/async.js:526:22",0x2b5e6cbd73e8,~
code-creation,LazyCompile,18,220475,0x2b5e6cbe34a0,72,"isObjectLike /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/async/dist/async.js:526:22",0x2b5e6cbd73e8,~
timer-event-end,"V8.CompileCode",220483
